"spa","Comment"
"Chocopeque
─No tienes bastante dinero.",""
"Saldré del bosque montando el chocobo.
Me quedaré un rato más.",""
"─Has montado en el chocobo.",""
"─Movimiento cuando picotea
algo del suelo.",""
"¡Has obtenido una Piedra Coraza!",""
"¡Has obtenido una Piedra Meteo!",""
"Chocopeque
─Éste es el {Blue}【Bosque de los chocobos -
nivel intermedio{White}{Blue}】{White}. ¡Si venís tanta gente de
golpe, los chocobos se asustarán y se irán!",""
"Chocopeque
─Este es el
{Blue}【Bosque de los chocobos -
nivel intermedio{White}{Blue}】{White}...",""
"Chocopeque
─¡Hey, yo lo he encontrado primero!
No lo he robado porque es la
“Prueba de afecto” de los chocobos.",""
"Chocopeque
─A mí no me basta con
llamarlos con el chococebo...
Quiero ser amigo suyo...",""
"Chocopeque
─¿Será que no me quieren
porque hago negocio con ellos?",""
"Chocopeque
─Va, va, vaya... Enhorabuena.",""
"Chocopeque
─¿Qué pa, pa, pasa...?",""
"Chocopeque
─¿Eh?",""
"Chocopeque
─¿Está bien así?",""
"Chocopeque
─¡Vale, vale!",""
"─¿Ca, ca, cartas? ¿Ju, juegas?
Sí.
No.
Quítate de ahí, ¿quieres?",""
"{Squall}
─Un poco más, ¿quieres?",""
"Zell
─Perdona, pero... un poco más, tío.",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Balamb}
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Galbadia}
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Trabia}
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Centra}
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Dollet}
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de
Fisherman's Horizon con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas del espacio 
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Esthar}
con las nuestras?",""
"Para poder jugar necesitas
como mínimo 5 cartas.",""
"La regla {Blue}“abierto”{White} se ha
propagado a esta región.",""
"La regla {Blue}“igual”{White} se ha
propagado a esta región.",""
"La regla {Blue}“suma”{White} se ha
propagado a esta región.",""
"La regla {Blue}“mano mezclada”{White} se ha
propagado a esta región.",""
"La regla {Blue}“hasta la muerte”{White} se ha
propagado a esta región.",""
"La regla {Blue}“otro intento”{White} se ha
propagado a esta región.",""
"La regla {Blue}“pared”{White} se ha
propagado a esta región.",""
"La regla {Blue}“elemental”{White} se ha
propagado a esta región.",""
"La regla {Blue}“abierto”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“igual”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“suma”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“mano mezclada”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“hasta la muerte”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“otro intento”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“pared”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“elemental”{White} ha sido
abolida en esta región.",""
"#cwwood5","291"
"Chocopeque
─Uno, dos, y...",""
"Chocopeque
─¡Enhorabuena por tu primer chocobo!",""
"Chocopeque
─Siempre tengo algo especial
para los buenos clientes.",""
"{Squall}
─¿Ah, sí?
Bueno, hasta otra.",""
"Chocopeque
─¡Espera, espera!",""
"Chocopeque
─Para celebrar tu primer chocobo,
voy a darte un chocobito.",""
"{Squall}
─Los pequeños no me inter...",""
"Chocopeque
─Venga, ponle un nombre.",""
"Chocopeque
─Ahora que suena la música, voy
a explicarte cómo funciona Chocobo World.",""
"Chocopeque
─¡Es muy fácil!",""
"Chocopeque
─Después, selecciona Chocobo World
en el menú “Guardar”.",""
"Chocopeque
─Entonces te puedes comunicar con
Chocobo World.",""
"Chocopeque
─¡Hasta la vista!",""
"Chocopeque
─¡Hola! ¿Qué tal? Me alegro de volver 
a verte. Eres uno de mis mejores clientes.",""
"Chocopeque
─¿Te explico cómo...?
No hace falta.
Sí.",""
"Chocopeque
─Ya lo pensaba.
¡Buena suerte!",""
"Menú de las chocoflautas
Chocosonar, para detectar Chocobos.
Chococebo, para capturarlos.
Ayúdame.
No pienso tocarla.",""
"Chocopeque
─¿Quieres capturar un chocobo?
Sí.
No.",""
"Chocopeque
─Para capturarlo necesitas unas flautas
llamadas {Yellow}chocoflautas{White}. ¿Quieres un par?
¿Son gratis?
No, gracias.",""
"Chocopeque
─Sí, te las regalo.
Son estas dos...",""
"Chocopeque
─Eso sí... mi {YellowBlink}conferencia magistral{White}
sobre su uso te costará 1.000 guiles.
Pago.
No pago ni un guil.",""
"Chocopeque
─Gracias, jefe.",""
"Chocopeque
─Deja que te explique para qué sirven
las flautas.
{NewPage}
─El {Yellow}Chocosonar{White} es para {Yellow}localizar{White}
a los chocobos.
El {Yellow}Chococebo{White} es para {Yellow}hacer que se muevan{White}.",""
"Chocopeque
─Si tocas el {Yellow}chococebo{White}, en alguna
parte del bosque {WhiteBlink}caerán chocobos{White}
de los árboles.
{NewPage}
─Para saber {WhiteBlink}en qué lugar{White} debes tocar,
utiliza el {Yellow}chocosonar{White}.
{NewPage}
─Puedes escoger la flauta que quieras
con el botón {x0527}.
{NewPage}
─Mantén pulsado el botón {x0524} para
que la flauta suene mientras caminas.",""
"{Squall}
─No quiero un chocobito.
Quiero uno grande para
poder montar en él.",""
"Chocopeque
─Escúchame.
Cuando sólo queda {YellowBlink}un chocobito{White},
la madre empieza a preocuparse
y sale a buscarlo.",""
"{Squall}
─Entonces, podré
aprovechar para atraparla...",""
"Chocopeque
─¡Ajá!",""
"Chocopeque
─Se portan muy bien.",""
"Chocopeque
─Vamos a ver si te ha quedado claro.
Primero, pulsa {x0527} para seleccionar
el {Yellow}chocosonar{White} y luego {x0524} para que suene.
{NewPage}
─{WhiteBlink}Un sonido diferente{White} te indicará dónde
están los chocobitos.
{NewPage}
─Luego, utiliza {x0527} para elegir el {Yellow}chococebo{White}
y {x0524} para que {WhiteBlink}caigan los chocobitos{White}.",""
"Chocopeque
─Cuando hables con el chocobito
que se ha quedado solo,
aparecerá la madre.",""
"Chocopeque
─A propósito, cuando {Yellow}no hay ningún chocobo{White}
por la zona, el chocosonar suena así...",""
"Chocopeque
─En los sitios en que {Yellow}sí hay chocobos{White},
suena así...",""
"Chocopeque
─¿Entendido? Muy bien.",""
"Chocopeque
─¡Huy, qué cara pones!
¡Aquí estoy para ayudarte!
Pulsa {x0527} y selecciona
{Yellow}“Ayúdame”{White}.
Te entregaré un chocobo por
{YellowBlink}cuatro perras{White}.",""
"Chocopeque
─Una cosa más. Si tocas el chocosonar
donde {Yellow}no haya{White} chocobitos, {Yellow}te quitarán
las flautas{White}. Si quieres otras, tendrás
que {YellowBlink}pagar por ellas{White}.",""
"Chocopeque
─Buena suerte.",""
"Chocopeque
─¿Me has llamado? ¿Te das por vencido?
Ya lo sabía, déjalo correr. Son 1.200 guiles.
Pago.
No pago.",""
"Chocopeque
─Gracias, jefe.
Y ahora, observa al gran
maestro en acción...",""
"Chocopeque
─Pst pst pst, chocobo, chocobo mío...",""
"Chocopeque
─Ven con papá, ven con papá...",""
"Chocopeque
─¡Je, je, je! ¿Qué te parece?",""
"Chocopeque
─Soy un hacha.
Avísame siempre que quieras.",""
"(¡No...! Me ha quitado las flautas.)",""
"(¡Me han devuelto las flautas!)",""
"Chocopeque
─¿Te han quitado las flautas?",""
"Chocopeque
─¡Qué mala pata! Tendrás que comprar
otras... Son 700 guiles del ala.
Pago.
No pago.",""
"Chocopeque
─¿Alguna pregunta? ¡Dispara!
Explícame lo del chocosonar.
Explícame lo del chococebo.
Háblame de los bosques de los chocobos.
Háblame de ti.",""
"Chocopeque
─Es como un sensor, tan preciso que
incluso detecta el olor a chocobo.
Una pasada, ¿verdad?",""
"Chocopeque
─Dicen que en el mundo hay siete bosques
de chocobos. Se cree que uno de ellos es
su meca, pero no estoy seguro. En los
otros seis bosques sí que viven chocobos.",""
"Chocopeque
─Su sonido es irresistible para los
chocobitos. Les da unas ganas
tremendas de moverse. Genial, ¿no?",""
"Chocopeque
─¡Yo soy un experto cazachocobos!
Puedo capturarlos con los ojos cerraos.",""
"Chocopeque
─¿Qué deseas?
Una pista {Yellow}:{White} 100 guiles.
Verdura gysahl x 10 {Yellow}:{White} 6.000 guiles
Preguntar algo {Yellow}:{White} Gratis... ¡No, 10 guiles!
Nada.",""
"Chocopeque
─El Bosque del Cerco:
Empieza por fuera y luego
ve hacia el centro.",""
"Chocopeque
─Gracias, jefe.",""
"Chocopeque
─No tienes bastante dinero.",""
"Chocopeque
─Gracias, jefe.",""
"Chocopeque
─No tienes bastante dinero.",""
"Saldré del bosque montando el chocobo.
Me quedaré un rato más.",""
"─Has montado en el chocobo.",""
"─Movimiento cuando picotea
algo del suelo.",""
"¡Has obtenido una Piedra Meteo!",""
"¡Has obtenido una Piedra Sanctus!",""
"¡Has obtenido una Piedra Artema!",""
"Chocopeque
─Éste es el {Blue}【Bosque de los chocobos -
nivel avanzado{White}{Blue}】{White}.
¡Si venís tanta gente de golpe, los chocobos
se asustarán y se irán!",""
"Chocopeque
─Éste es el {Blue}【Bosque de los chocobos -
nivel avanzado{White}{Blue}】{White}...",""
"Chocopeque
─¡Hey! ¿Los chocobos te han dado
objetos que estaban ocultos en
el bosque? Es la manera que tienen
de mostrar cariño.",""
"Chocopeque
─Los chocobos de este bosque te ven
como a un amigo.
Ya no tendrás que buscarlos más.",""
"Chocopeque
─¡Vaya, un cliente menos!",""
"Chocopeque
─Te felicito.",""
"Chocopeque
─¿Eh? ¿Todavía no has buscado
aquello...? N... no, nada, nada...",""
"#cwwood4","290"
"─¡Te han arrebatado 600 guiles!",""
"¡Has obtenido una Verdura gysahl!",""
"{Squall}
─¿Me darás algo?",""
"─¡Has obtenido un Carné chocobito!",""
"Chocopeque
─Yo también quiero uno...",""
"Chocopeque
─¿Tu último “Ayúdame”?
Sí.
No.",""
"Chocopeque
─Espero que volvamos a vernos.
Eres un buen cliente.",""
"Chocopeque
─No me gusta tener
que decirte adiós.",""
"Chocopeque
─¡Hay chocobos de todo el mundo!
¡Es un gran momento!",""
"Chocopeque
─¡Vaya, veo que también has
encontrado este bosque!
¡Y a mí que me costó tres años!
Ésta es la meca de los chocobos.
Aquí no se puede comerciar.",""
"Chocopeque
─Hay bastantes chocobos de
diversas partes del mundo.
¿Qué pasaría si se juntaran todos?",""
"Chocopeque
─Parece que las madres chocobo
de todos los bosques están aquí.",""
"Chocopeque
─Ésta es la última vez
que me ves en acción.",""
"Chocopeque
─Pst, pst, chocobo, chocobo mío...",""
"Chocopeque
─Ven con papá, ven con papá.",""
"Chocopeque
─¡Je, je, je! ¿Qué te parece?",""
"Chocopeque
─¡Hasta la vista! ¡Espero que
volvamos a vernos!",""
"Chocopeque
─¿Quieres una pista? Es gratis.
Pista 1.
Pista 2.",""
"Saldré del bosque montando el chocobo.
Me quedaré un rato más.",""
"─Has montado en el chocobo.",""
"─Movimiento cuando picotea
algo del suelo.",""
"Chocopeque
─Éste es el {Blue}【Bosque de los
chocobos】{White}.
¡Si venís tanta gente de golpe, los
chocobos se asustarán y se irán!",""
"#cwwood3","289"
"Chocopeque
─Uno, dos, y...",""
"Chocopeque
─¡Enhorabuena por tu primer chocobo!",""
"Chocopeque
─Siempre tengo algo especial
para los buenos clientes.",""
"{Squall}
─¿Ah, sí?
Bueno, hasta otra.",""
"Chocopeque
─¡Espera, espera!",""
"Chocopeque
─Para celebrar tu primer chocobo,
voy a darte un chocobito.",""
"{Squall}
─Los pequeños no me inter...",""
"Chocopeque
─Venga, ponle un nombre.",""
"Chocopeque
─Ahora que suena la música, voy
a explicarte cómo funciona Chocobo World.",""
"Chocopeque
─¡Es muy fácil!",""
"Chocopeque
─Después, selecciona Chocobo World
en el menú “Guardar”.",""
"Chocopeque
─Entonces te puedes comunicar con
Chocobo World.",""
"Chocopeque
─¡Hasta la vista!",""
"Chocopeque
─¡Hola! ¿Qué tal? Me alegro de volver
a verte. Eres uno de mis mejores clientes.",""
"Chocopeque
─¿Te explico cómo...?
No hace falta.
Sí.",""
"Chocopeque
─Ya lo pensaba.
¡Buena suerte!",""
"Menú de las chocoflautas
Chocosonar, para detectar Chocobos.
Chococebo, para capturarlos.
Ayúdame.
No pienso tocarlas.",""
"Chocopeque
─¿Quieres capturar un chocobo?
Sí.
No.",""
"Chocopeque
─Para capturarlo necesitas unas flautas
llamadas {Yellow}chocoflautas{White}. ¿Quieres un par?
¿Son gratis?
No, gracias.",""
"Chocopeque
─Sí, te las regalo.
Son estas dos...",""
"Chocopeque
─Eso sí... mi {YellowBlink}conferencia magistral{White}
sobre su uso te costará 1.000 guiles.
Pago.
No pago ni un guil.",""
"Chocopeque
─Gracias, jefe.",""
"Chocopeque
─Deja que te explique para qué sirven
las flautas.
{NewPage}
─El {Yellow}Chocosonar{White} es para {Yellow}localizar{White}
a los chocobos.
El {Yellow}Chococebo{White} es para {Yellow}hacer que se muevan{White}.",""
"Chocopeque
─Si tocas el {Yellow}chococebo{White}, en alguna
parte del bosque {WhiteBlink}caerán chocobos{White}
de los árboles.
{NewPage}
─Para saber {WhiteBlink}en qué lugar{White} debes tocar,
utiliza el {Yellow}chocosonar{White}.
{NewPage}
─Puedes escoger la flauta que quieras
con el botón {x0527}.
{NewPage}
─Mantén pulsado el botón {x0524} para
que la flauta suene mientras caminas.",""
"{Squall}
─No quiero un chocobito.
Quiero uno grande para poder montar en él.",""
"Chocopeque
─Escúchame.
Cuando sólo queda {YellowBlink}un chocobito{White},
la madre empieza a preocuparse
y sale a buscarlo.",""
"{Squall}
─Entonces, podré
aprovechar para atraparla...",""
"Chocopeque
─¡Ajá!",""
"Chocopeque
─Se portan muy bien.",""
"Chocopeque
─Vamos a ver si te ha quedado claro.
Primero, pulsa {x0527} para seleccionar el
{Yellow}chocosonar{White} y luego {x0524} para que suene.
{NewPage}
─{WhiteBlink}Un sonido diferente{White} te indicará dónde
están los chocobitos.
{NewPage}
─Luego, utiliza {x0527} para elegir el {Yellow}chococebo{White}
y {x0524} para que {WhiteBlink}caigan los chocobitos{White}.",""
"Chocopeque
─Cuando hables con el chocobito
que se ha quedado solo,
aparecerá la madre.",""
"Chocopeque
─A propósito, cuando {Yellow}no hay
ningún chocobo{White} por la zona,
el chocosonar suena así...",""
"Chocopeque
─En los sitios en que {Yellow}sí hay chocobos{White},
suena así...",""
"Chocopeque
─¿Entendido? Muy bien.",""
"Chocopeque
─¡Huy, qué cara pones!
¡Aquí estoy para ayudarte!
Pulsa {x0527} y selecciona
{Yellow}“Ayúdame”{White}.
Te entregaré un chocobo por
{YellowBlink}cuatro perras{White}.",""
"Chocopeque
─Una cosa más. Si tocas el chocosonar
donde {Yellow}no haya{White} chocobitos, {Yellow}te quitarán
las flautas{White}. Si quieres otras, tendrás
que {YellowBlink}pagar por ellas{White}.",""
"Chocopeque
─Buena suerte.",""
"Chocopeque
─¿Me has llamado? ¿Te das por vencido?
Ya lo sabía, déjalo correr. Son 1.200 guiles.
Pago.
No pago.",""
"Chocopeque
─Gracias, jefe.
Y ahora, observa al gran
maestro en acción...",""
"Chocopeque
─Pst pst pst, chocobo, chocobo mío...",""
"Chocopeque
─Ven con papá, ven con papá...",""
"Chocopeque
─¡Je, je, je! ¿Qué te parece?",""
"Chocopeque
─Soy un hacha.
Avísame siempre que quieras.",""
"(¡No...! Me ha quitado las flautas.)",""
